name,email,gender,address,age,role
I'm super admin,admin@gmail.com,MALE,hn,25,1
nu ,nhokanhanh@gmail.com,MALE,pham ghong thai,23,1
hr,hr@gmail.com,MALE,42 Phạm Hồng Thái,25,1
loe vann nguyen,test@gmail.com,MALE,41b le van tho,23,1
sos nu,sosnu1111@gmail.com,MALE,ha-noi,25,1
sos nu,sosnu@gmail.com,MALE,ha-noi,25,1
sos nu1,sosnu11111111@gmail.com,MALE,ha-noi,25,1
sos nu,so11sn112313123u@gmail.com,MALE,ha-noi,25,1
sos nu1,sosnu111111231111@gmail.com,MALE,ha-noi,25,1
sos nu,so11sn112312313123u@gmail.com,MALE,ha-noi,25,1
sos nu1,sosnu11111111231111@gmail.com,MALE,ha-noi,25,1
